Категорія,Назва,Бренд,Ціна,Наявність,Стан,Гарантія,Фото (ім'я файлу або посилання),Опис
Електроживлення,Акумулятор LiitoKala LiFePO4 DC-12V300Ah+LCD,LiitoKala,23669,в наявності,нове,,akumuliator-liitokala-lifepo4-dc-12v300ah-lcd.jpg,"Модель: Акумуляторна батарея DC-12V300Ah Напруга: 12,8 В Місткість: 300 Ач Максимальний зарядний струм: 100 А Рекомендований зарядний струм: 20 А Постійний розрядний струм: 100 А Миттєвий розрядний струм: 300 А (3 с) Вага: 25 кг Розміри: 355*245*180 мм Діапазон робочої напруги: 10,0 В-14,6 В Напруга захисту від перезаряду: 14,6 + 0,05 В Напруга захисту від перерозряду: 10,0 + 0,05 В Вбудовані функції: Світлодіодний індикатор заряду Вхідний струм XLR 3PIN: 14,6 В 5 А Вбудована функція 12 В Вихідний струм: DC5,5*2,1/2 5A, USB 3.0/1 18 Вт, PD-Type C 3.0: 18 Вт Застосування: Електроенергетичне застосування Запуск двигуна акумулятора Комерційні автобуси та маршрутки: електромобілі, електробуси, гольф-кари/електричні велосипеди, скутери, автофургони, AGV, морські піхотинці, автобуси, каравани, інвалідні коляски, електронні вантажівки, електронні підмітальні машини, очищувачі підлоги, електронні ходунки і т.д."
Витратні матеріали,"Акумулятор LiitoKala Lii-34B-PCB: потужний 18650 Li-Ion, 3400mah, зелений",LiitoKala,309,в наявності,нове,,akumuliator-liitokala-lii-34b-pcb-potuzhnyi-18650-li-ion-340.png,"Опис акумулятора Li-Ion 18650 LiitoKala Lii-34B-PCB Акумулятор Li-Ion 18650 LiitoKala Lii-34B-PCB - це якісний і надійний джерело живлення для різних електронних пристроїв. Завдяки високій ємності в 3400 мАг (3200-3400 мАг), він забезпечує тривалий час роботи без необхідності перезарядки. Застосовується для широкого спектра пристроїв, включаючи ліхтарики, електронні сигарети, мобільні телефони, планшети, ноутбуки, фотоапарати та багато іншого. Особливості акумулятора Li-Ion 18650 LiitoKala Lii-34B-PCB Висока ємність: 3400 мАг (3200-3400 мАг) забезпечує тривалий час автономної роботи ваших пристроїв. Надійність: Виготовлений з високоякісних матеріалів, що забезпечує довгий термін служби та безпеку використання. Стабільність напруги: Забезпечує стабільне живлення ваших пристроїв, запобігаючи їх поломці. Захист: Плата захисту PCB захищає акумулятор від перезарядки, перерозряду, короткого замикання та інших негативних впливів."
Витратні матеріали,Акумулятор PKCELL 1.2V AA 1000mAh NiMH Rechargeable Battery 2шт.,PKCELL,161,в наявності,нове,,,"Технічні характеристики Акумулятор забезпечує живлення пристроїв із середньою та великою потужністю. Працює при зниженому та підвищеному температурному режимі та великих навантаженнях. Застосовуються акумулятори для диктофонів, плеєрів МР3, іграшок, ліхтариків, пультів дистанційного керування та інших. пристроїв. Напруга: 1.2 В Маркування акумулятора: AA Тип акумулятора: Ni-MH Місткість: 1000 мА Матеріал упаковки: пластик (блістер) Термін зберігання – до 3 років."
Витратні матеріали,Акумулятор PKCELL 1.2V AA 1300mAh NiMH Rechargeable Battery 2шт.,PKCELL,174,в наявності,нове,,akumuliator-pkcell-1-2v-aa-1300mah-nimh-rechargeable-battery.jpg,"Технічні характеристики Акумулятор забезпечує живлення пристроїв із середньою та великою потужністю. Працює при зниженому та підвищеному температурному режимі та великих навантаженнях. Застосовуються акумулятори для диктофонів, плеєрів МР3, іграшок, ліхтариків, пультів дистанційного керування та інших. пристроїв. Напруга: 1.2 В Маркування акумулятора: AA Тип акумулятора: Ni-MH Місткість: 1300 мА Матеріал упаковки: пластик (блістер) Термін зберігання – до 3 років."
Витратні матеріали,Акумулятор RABLEX HR03/AAA 1000mAh 2шт/блістер,RABLEX,149,в наявності,нове,,akumuliator-rablex-hr03-aaa-1000mah-2sht-blister.jpg,"Акумулятори RABLEX HR03/AAA 1000mAh — це перезаряджувані нікель-металогідридні (Ni-MH) батарейки формату AAA, призначені для щоденного використання в різних електронних пристроях. Оптимальний вибір для пультів дистанційного керування, вагів, годинників, ліхтариків та іншої техніки. Акумулятори забезпечують стабільну напругу та можуть багаторазово перезаряджатися, що робить їх економічною альтернативою звичайним батарейкам. Поставляються у зручному блістері по 2 штуки. Характеристики: Тип: акумулятори Типорозмір: AAA (HR03) Кількість в упаковці: 2 шт Тип акумулятора: Ni-MH (нікель-металогідридний) Ємність: 1000 мА·год Форма: мізинчикові Призначення: для вагів, годинників, ліхтариків, пультів Країна-виробник: Китай"
Витратні матеріали,Акумулятор RABLEX HR6/AA 1000mAh 2шт/блістер,RABLEX,155,в наявності,нове,,akumuliator-rablex-hr6-aa-1000mah-2sht-blister.jpg,"Акумулятори RABLEX HR6/AA 1000mAh — це перезаряджувані нікель-металогідридні (Ni-MH) батарейки формату AA, призначені для щоденного використання в різних електронних пристроях. Підходять для пультів дистанційного керування, вагів, годинників, ліхтариків та іншої техніки. Акумулятори забезпечують стабільну напругу та можуть багаторазово перезаряджатися, що робить їх вигідною альтернативою звичайним батарейкам. Завдяки стандартному формату AA сумісні з великою кількістю пристроїв. Поставляються у блістері по 2 штуки. Характеристики: Тип: акумулятори Типорозмір: AA (HR6) Кількість в упаковці: 2 шт Тип акумулятора: Ni-MH (нікель-металогідридний) Ємність: 1000 мА·год Форма: пальчикові Призначення: для вагів, годинників, ліхтариків, пультів Країна-виробник: Китай"
Витратні матеріали,Акумулятор RABLEX HR6/AA 2100mAh 2шт/блістер,RABLEX,254,в наявності,нове,,akumuliator-rablex-hr6-aa-2100mah-2sht-blister.jpg,"Акумулятори RABLEX HR6/AA 2100mAh — це перезаряджувані нікель-металогідридні (Ni-MH) батарейки підвищеної ємності, які забезпечують тривалу роботу різних електронних пристроїв. Ідеально підходять для ліхтариків, бездротових аксесуарів, пультів, вагів та іншої техніки. Завдяки ємності 2100 мА·год акумулятори забезпечують більш тривалий час роботи у порівнянні зі стандартними моделями меншої ємності. Підтримують багаторазову перезарядку, що робить їх економічною та екологічною альтернативою звичайним батарейкам. Сумісні з усіма пристроями формату AA. Поставляються у зручному блістері по 2 штуки. Характеристики: Тип: акумулятори Типорозмір: AA (HR6) Кількість в упаковці: 2 шт Тип акумулятора: Ni-MH (нікель-металогідридний) Ємність: 2100 мА·год Форма: пальчикові Призначення: для вагів, годинників, ліхтариків, пультів Країна-виробник: Китай"
Освітлення,Акумуляторна кемпінгова LED лампа BL-2029,,296,в наявності,нове,,akumuliatorna-kempingova-led-lampa-bl-2029.jpg,"Опис Ліхтар-лампа акумуляторна BL 2029 + SOLAR на сонячній батареї з USB зарядкою Універсальна лампа BL-2029 для кемпінгу - це незамінний помічник для відпочинку: супер яскрава світлодіодна лампа, що перезаряджається, з підвісним кріпленням (гачком), яку можна використовувати в будь-яких умовах, на природі, в будинку, у дворі, гаражі і т.д. Дуже проста у використанні, керується однією кнопкою включення, має 5 режимів світіння, заряджається від кабелю USB-microUSB (йде в комплекті), можна заряджати через будь-який USB-канал, в авто, комп'ютер, Power bank. Мобільна бездротова аварійна лампа для кемпінгу, готелів, нічних ринків."
Освітлення,Акумуляторна кемпінгова LED лампа CL-V50 1200 мАг,,,під замовлення,нове,,akumuliatorna-kempingova-led-lampa-cl-v50-1200-mag.jpg,"Цей акумуляторний ліхтарик/лампа стане незамінним помічником у будь-яких умовах завдяки потужному Li-Ion акумулятору та захисту від дощу та пилу. Виготовлений з міцного ABS пластику, він має потужність 30 Вт і оснащений 12 світлодіодами, що забезпечують яскраве освітлення. Пристрій заряджається через USB, що робить його зручним у використанні у різних ситуаціях. Ліхтарик має два режими освітлення: на 50% та 100% яскравості, дозволяючи вибрати оптимальний рівень світла. Його компактні розміри (13 х 7,7 см) та додатковий гачок довжиною 4 см роблять його зручним для перенесення та підвішування. Цей ліхтарик ідеально підходить для кемпінгу, походів або використання у побуті, забезпечуючи надійне освітлення у будь-яких умовах."
Освітлення,Акумуляторна LED лампа BlackLine 15W-2,,226,в наявності,нове,,akumuliatorna-led-lampa-blackline-15w-2.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 15W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція з використання: Лампа заряджається під час роботи від мережі 220В. Під час знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Освітлення,Акумуляторна LED лампа BlackLine 18W-3,,236,в наявності,нове,,akumuliatorna-led-lampa-blackline-18w-3.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 18W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція з використання: Лампа заряджається під час роботи від мережі 220В. Під час знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Освітлення,Акумуляторна LED лампа BlueLine 12W,,213,в наявності,нове,,akumuliatorna-led-lampa-blueline-12w.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 12W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція з використання: Лампа заряджається під час роботи від мережі 220В. Під час знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Освітлення,Акумуляторна LED лампа BlueLine 15W-2,,216,в наявності,нове,,akumuliatorna-led-lampa-blueline-15w-2.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 15W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція з використання: Лампа заряджається під час роботи від мережі 220В. Під час знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Освітлення,Акумуляторна LED лампа Diamond 12W,,206,в наявності,нове,,akumuliatorna-led-lampa-diamond-12w.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 12W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція з використання: Лампа заряджається під час роботи від мережі 220В. Під час знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Освітлення,Акумуляторна LED лампа P style 12W,,196,в наявності,нове,,akumuliatorna-led-lampa-p-style-12w.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 12W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція з використання: Лампа заряджається під час роботи від мережі 220В. Під час знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Освітлення,Акумуляторна LED лампа RA-12W-1200MA-1,,1487,в наявності,нове,,akumuliatorna-led-lampa-ra-12w-1200ma-1.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 12W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція по використанню: Лампа заряджається під час роботи від мережі 220В. У разі знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Освітлення,Акумуляторна LED лампа RA-15W-1200MA-1,,235,в наявності,нове,,akumuliatorna-led-lampa-ra-15w-1200ma-1.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 15W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція по використанню: Лампа заряджається під час роботи від мережі 220В. У разі знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Освітлення,Акумуляторна LED лампа RA-800MA-12W-1,,218,в наявності,нове,,akumuliatorna-led-lampa-ra-800ma-12w-1.jpg,"Світлодіодна лампа з акумулятором аварійна автономна 12W 6500К E27 Має два режими: Працює як звичайна лампа від 220В мережі. Працює від вбудованого акумулятора при знеструмленні мережі 220В (до 3-4 годин автономної роботи) Інструкція по використанню: Лампа заряджається під час роботи від мережі 220В. У разі знеструмлення мережі лампа запускається автоматично, якщо увімкнено вимикач, до якого він підключений. Управління лампою здійснюється за допомогою стандартного вимикача, якого вона підключена."
Мережеве обладнання,"Антена автомобільна TS-9 16 дБ 698-960/1700-2700 МГц (Київстар, Vodafone, Lifecell)",,1117,в наявності,нове,,antena-avtomobilna-ts-9-16-db-698-960-1700-2700-mgts-kyivsta.jpg,"Автомобільна антена TS-9 16 дБ 698-960/1700-2700 МГц - оптимальний пристрій для посилення сигналу мобільного інтернету під час руху. Антена має кругову дію і ловить відбитий сигнал. Прилад взаємодіє з усіма операторами мобільного зв'язку України та працює з більшістю зарубіжних операторів. Перевага даної антени - можливість використання і на відкритій місцевості (наприклад, на даху авто), а також у приміщенні. Таким чином її легко можна встановити у будь-якій будівлі. Практичність - ще одна заслуга антени TS-9 16 дБ 698-960/1700-2700 МГц. Пристрій має магнітну основу, за рахунок чого надійно кріпиться на металеву поверхню."
Мережеве обладнання,Антена внутрішня для GSM репітера 8 Дб,,313,в наявності,нове,,antena-vnutrishnia-dlia-gsm-repitera-8-db.jpg,"Антена внутрішня для репітера 8Дб - універсальна антена, призначена для роботи з будь-яким підсилювачем зв'язку. Як ми писали раніше, в репитерах зазвичай використовується дві антени (для прийому і роздачі сигналу), і дана антена якраз і є тією самою внутрішньої, абонентської, яка допоможе посилити роздачу сигналу в радіусі до 50м від репітера. Приємний бонус також полягає в тому, що додаткових налаштувань вона не вимагає, як і усильтель зв'язку, Вам достатньо лише підключити її через відповідний N-коннектор."
Ефірне ТБ,Антена ефірна А-06 з підсилювачем,,399,в наявності,нове,,antena-efirna-a-06-z-pidsyliuvachem.jpg,"Антена зовнішня ефірна ДМВ 16 елементна T2 1,2 м хвильовий канал зроблена з міцних термічно оброблених алюмінієвих профілів, директори кріпляться до несучої траверси спеціальною кліпсою з полікарбонату виробництва фірми Bayer, рефлектори виготовлені з оцин. Цю антену можна застосовувати в зоні важких умов прийому цифрового сигналу DVB-T2, її характеристики забезпечують якісний прийом сигналу. Рекомендується застосовувати в місті при і передмісті, відстань до вишки, що транслюється, 60 км.езпечують якісний прийом сигналу. Рекомендується застосовувати в місті при і передмісті, відстань до вишки, що транслюється, 60 км. Можливе встановлення підсилювача. Технічні характеристики Смуга частот: 470-800 МГц Хвильовий опір: 75 Ом Коефіцієнт стоячої хвилі: 1,2 ДМВ Коефіцієнт посилення: 31 дБі Кількість елементів: 16 Матеріал елементів: алюміній, оцинкована сталь Тип з'єднання: F-роз'єм Живлення підсилювача: 5 вольт"
Ефірне ТБ,Антена ефірна А-07,,422,в наявності,нове,,antena-efirna-a-07.jpg,"Антена зовнішня ефірна ДМВ 21 елементна T2 1,5 м хвильовий канал зроблена з міцних термічно оброблених алюмінієвих профілів, директори кріпляться до несучої траверси спеціальною кліпсою з полікарбонату виробництва фірми Bayer, рефлектори виготовлені з оцин. Цю антену можна застосовувати в зоні важких умов прийому цифрового сигналу DVB-T2, її характеристики забезпечують якісний прийом сигналу. Рекомендується застосовувати в місті при і передмісті, відстань до вишки, що транслюється, 60 км.езпечують якісний прийом сигналу. Рекомендується застосовувати в місті при і передмісті, відстань до вишки, що транслюється, 60 км. Можливе встановлення підсилювача. Технічні характеристики Смуга частот: 470-800 МГц Хвильовий опір: 75 Ом Коефіцієнт стоячої хвилі: 1,5 ДМВ Коефіцієнт посилення: 18 дБі Кількість елементів: 21 Матеріал елементів: алюміній, оцинкована сталь Тип з'єднання: F-роз'єм"
Ефірне ТБ,Антена ефірна А-16,,380,в наявності,нове,,antena-efirna-a-16.jpg,"Антенна зовнішня ефірна ДМВ 16 елементна T2 довжиною 1 метр хвильовий канал зроблена з міцних термічно оброблених алюмінієвих профілів, директори кріпляться до несучої траверси спеціальної кліпсою із оцинкованої сталі. Кабель підключається як на польській антені, центральна жила затискається гвинтом, а обплетення хомутом. Цю антену можна застосовувати в зоні важких умов прийому цифрового сигналу DVB-T2, її характеристики забезпечують якісний прийом сигналу. Рекомендується застосовувати в місті при і передмісті, відстань до вишки, що транслюється, 40 км. Можливе встановлення підсилювача. 1.2-1.6 Технічні характеристики Коефіцієнт стоячої хвилі, ДМВ Коефіцієнта посилення, дБі 9-14 Хвильовий опір 75 ом Кількість елементів 16"
Ефірне ТБ,Антена ефірна А-19,,399,в наявності,нове,,antena-efirna-a-19.jpg,"Антенна зовнішня ефірна ДМВ 19 елементна T2 1,5м. хвильовий канал зроблена з міцних термічно оброблених алюмінієвих профілів, директори кріпляться до несучої траверси спеціальною кліпсою з полікарбонату виробництва фірми Bayer, рефлектори виготовлені з оцинкованої сталі. Кабель підключається як на польській антені, центральна жила затискається гвинтом, а обплетення хомутом. Цю антену можна застосовувати в зоні важких умов прийому цифрового сигналу DVB-T2, її характеристики забезпечують якісний прийом сигналу. Рекомендується застосовувати в місті при і передмісті, відстань до вишки, що транслюється, 60 км. Можливе встановлення підсилювача. Технічні характеристики Коефіцієнт стоячої хвилі, ДМВ 1,2-1,6 Середнє значення коефіцієнта посилення, дБі 13-16 Хвильовий опір 75 ом Кількість елементів 19"
Ефірне ТБ,Антена ефірна А-19 Super,,458,в наявності,нове,,antena-efirna-a-19-super.jpg,"A-19 SUPER – зовнішня дециметрова антена, призначена для прийому цифрового наземного телебачення DVB-T, DVB-T2 в смузі частот 470-862 МГц (21-69 канал). Підсилювач або плата погодження (12–69) не входять до комплекту. Антена використовується поза приміщеннями з можливістю кріплення на щоглу в зоні впевненого прийому, де якісний прийом забезпечується прямою видимістю антени, що передає. У зоні невпевненого прийому рекомендується використовувати антенні підсилювачі. Виготовлений з алюмінію та сталі, а також оцинкованих компонентів. Технічні характеристики антени Поляризація горизонтальна Хвильовий опір, Ом 75 Наявність підсилювача без підсилювача Діапазон частот, МГц 470-862 Канали 21-69 Коефіцієнт посилення, дБ 9-14"
Ефірне ТБ,Антена ефірна Eurosky Фаворит Активна,Eurosky,351,в наявності,нове,,antena-efirna-eurosky-favoryt-aktyvna.jpg,Зовнішня антена з підсилювачем для цифрового ТБ. Антена має вбудований підсилювач з напругою живлення 5 вольт. Живлення антени здійснюється: безпосередньо від приймача цифрового телебачення у разі використання з приставками DVB-T2 або телевізорами з вбудованим тюнером DVB-T2. При цьому в меню приймача необхідно активувати функцію (живлення антени); за допомогою інжектора живлення USB (в комплект не входить і купується окремо).
Ефірне ТБ,Антена ефірна Q-Sat A-11,Q-Sat,313,в наявності,нове,,antena-efirna-q-sat-a-11.jpg,"А-11 – зовнішня дециметрова антена призначена для прийому цифрового наземного телебачення DVB-T, DVB-T2 в смузі частот 470-862МГц (21-69 канал). Підсилювач або плата узгодження (12-69) до комплекту не входять. Антена використовується поза приміщеннями з можливістю кріплення на щоглу в зоні впевненого прийому, де якісний прийом забезпечується прямою видимістю антени, що передає. У зоні невпевненого прийому рекомендується використовувати антенні підсилювачі. Виготовлений з алюмінію та сталі, а також оцинкованих компонентів."
Мережеве обладнання,Антена зовнішня для GSM репітера 12 Дб,,505,в наявності,нове,,antena-zovnishnia-dlia-gsm-repitera-12-db.jpg,"Зовнішня антена з посиленням на 12 dB, працює з 2G-3G-4G в частотному діапазоні 700-2700MHz. Дану антену використовують для репітерів та різних ретрансляторів, які посилюють мобільний зв'язок. Корпус антени виконаний з білого матового ударостійкого пластику, що надає їй приємного вигляду і не дозволяє нагріватися на сонці. Сама антена спрямованого типу, яка відмінно приймає сигнал від усіх наших операторів Lifecell, Vodafone, Київстар. Характеристики: Тип: зовнішня антена; Матеріал: пластик; Опір: 50 Ом; Максимальна вхідна потужність: 50 Вт; Посилення: 12 дБ;Частота: 700-2700 МГц; Робоча температура: 40-60°C Роз'єм: N-Female; Поляризація: вертикальна; Сектор випромінювання у вертикальній площині: 55/40 °; Сектор випромінювання у горизонтальній площині: 65/50°;Колір білий; Розміри: 290 * 210 * 60 мм; Вага: 0,6 кг;"
Ефірне ТБ,Антена кімнатна А-02,,351,в наявності,нове,,antena-kimnatna-a-02.jpg,"Кімнатна пасивна антена Q-Sat A-02 з логоперіодичною конструкцією - практичне рішення для прийому ефірного телебачення DVB-T/T2 та аналогового в діапазоні 470-862 МГц (21-69 каналів). Виготовлена ​​з алюмінію, забезпечує посилення 7-9 дБ, вагою 0,25 кг. Підключається до телевізора через антеневхід з опором 75 Ом. Не потребує живлення – надійно та економічно підходить для приміщень з помірним прийомом сигналу. Характеристики Тип: кімнатна антена (пасивна) Конструкція: логоперіодична Діапазон частот: 470-862 МГц (21-69 канали) Підтримка: DVB-T/DVB-T2, аналогове ТБ Коефіцієнт посилення: 7-9 дБ Матеріал: алюміній Вхідний опір: 75 Ом Харчування: не потрібно Вага: 0,25 кг Колір: сріблястий"
Ефірне ТБ,Антена кімнатна ДМВ (Рамка з підставкою),,94,в наявності,нове,,antena-kimnatna-dmv-ramka-z-pidstavkoiu.jpg,"Антенна рамка з підставкою Пасивна кімнатна телевізійна антена призначена для прийому програм у частоті ДМВ (470...870 МГц). у зонах впевненого прийому. Не потребує харчування. Має приймальну рамку для якіснішого прийому сигналу. Антена виготовлена з радіопрозорого пластику, який є міцним, довговічним та безпечним при експлуатації матеріалом."
Ефірне ТБ,Антена кімнатна Чебурашка Активна,,258,в наявності,нове,,antena-kimnatna-cheburashka-aktyvna.jpg,"Антена для Т2 Чебурашка - кімнатна антена з підсилювачем для цифрового ефірного телебачення стандарту DVB-T2. Антена виготовлена ​​з оцинкованої сталі, комплектується підсилювачем Super 1000, телевізійним кабелем довжиною 2м. Живлення 5V для підсилювача антени подається з Т2 тюнера або блоку живлення (у комплект не входить). Технічні характеристики Тип: ефірна, кімнатна антена Матеріал корпусу: метал Посилення сигналу: з підсилювачем Коефіцієнт посилення: до 25дБ Харчування: 5В Частотний діапазон: ДМВ (470...862 МГц / 21-69к.) Спрямованість антени: широкоспрямована Довжина кабелю: 2 м Підключення: F-штекер Вихідний опір: 75 Ом Вага: 200 гр Розміри: 450*200*100 мм"
Ефірне ТБ,Антена кімнатна A-01mini T2 активна,,261,в наявності,нове,,antena-kimnatna-a-01mini-t2-aktyvna.jpg,"Антена кімнатна&A-01mini T2 активна 5V Технічні характеристики : Тип антени: кімнатна посилення: 23dB діапазон частот, МГц: 5-900 каналі: 21-69 < хвильовий опір, Ом: 75 Харчування: по USB"
Ефірне ТБ,Антена кімнатна ENERGY Т2 00,,148,в наявності,нове,,,"Антена кімнатна ENERGY Т2 00 Опис: Компактна кімнатна антена ENERGY Т2 00 призначена для прийому цифрового ефірного телебачення у форматі DVB-T та DVB-T2. Ідеально підходить для використання в міських умовах, де сигнал достатньо стабільний. Завдяки сучасному дизайну легко вписується в інтер’єр та не потребує складного монтажу. Основні характеристики: Підтримка цифрового ТБ стандарту DVB-T / DVB-T2 Підключення через стандартний антенний штекер (RF) Кімнатне використання — без потреби у зовнішньому встановленні Не потребує додаткового живлення (пасивна) Простота встановлення та використання Переваги: Надійний прийом сигналу в межах міста Легкий та стильний корпус Працює з усіма Т2-приймачами та телевізорами з вбудованим тюнером Комплектація: Антена ENERGY Т2 00 Кабель для підключення"
Ефірне ТБ,Антена кімнатна ENERGY Т2 00 з підсилювачем,,187,в наявності,нове,,antena-kimnatna-energy-t2-00-z-pidsyliuvachem.jpg,"Антена кімнатна ENERGY Т2 00 Опис: Антена кімнатна ENERGY Т2 00 з підсилювачем NRG 5555 — посилення 18-22 дБ, живлення 5 В із кабелем. Компактна кімнатна антена ENERGY Т2 00 призначена для прийому цифрового ефірного телебачення у форматі DVB-T та DVB-T2. Ідеально підходить для використання в міських умовах, де сигнал достатньо стабільний. Завдяки сучасному дизайну легко вписується в інтер’єр та не потребує складного монтажу. Основні характеристики: Підтримка цифрового ТБ стандарту DVB-T / DVB-T2 Підключення через стандартний антенний штекер (RF) Кімнатне використання — без потреби у зовнішньому встановленні З підсилювачем NRG 5555 — посилення 18-22 дБ, живлення 5 В із кабелем Простота встановлення та використання Переваги: Надійний прийом сигналу в межах міста Легкий та стильний корпус Працює з усіма Т2-приймачами та телевізорами з вбудованим тюнером Комплектація: Антена ENERGY Т2 00 Кабель для підключення"
Ефірне ТБ,Антена кімнатна ENERGY Т2 01,,196,в наявності,нове,,antena-kimnatna-energy-t2-01.jpg,"Антена кімнатна ENERGY Т2 01 (пасивна, з кабелем) Опис: Антена ENERGY Т2 01 — це надійне рішення для прийому цифрового ефірного телебачення DVB-T/T2 у межах міста. Пасивна модель не потребує додаткового живлення, що робить її ще простішою в експлуатації. Поставляється з вбудованим кабелем для зручного підключення. Основні характеристики: Тип: кімнатна, пасивна Призначення: для прийому цифрового ефірного ТБ (DVB-T / DVB-T2) Підключення: коаксіальний кабель з антенним штекером Живлення: не потребує (пасивна антена) Довжина кабелю: вбудований, ≈1.5 м Використання: всередині приміщень Переваги: Простота встановлення — підключи та дивись Стильний дизайн, легка вага Підходить для телевізорів з вбудованим Т2 або зовнішнім тюнером Не потребує підсилювача чи блока живлення Комплектація: Антена ENERGY T2 01 Вбудований кабель"
